numIter,ranIterations,didConverge,createMillis,computeMillis,writeMillis,nodePropertiesWritten,centralityDistribution,configuration
20,20,false,8157,12002,49480,1968703,"{p1:0.14999961853027344,max:244.22265529632568,p5:0.14999961853027344,p90:1.1238393783569336,p50:0.14999961853027344,p95:1.802992820739746,p10:0.14999961853027344,p75:0.505763053894043,p99:4.580901145935059,p25:0.14999961853027344,p100:244.22265529632568,min:0.14999961853027344,mean:0.542253350957931,stdDev:1.6528030693001345}","{maxIterations:20,writeConcurrency:4,sourceNodes:[],writeProperty:pageRank20,relationshipWeightProperty:null,nodeLabels:[*],sudo:false,dampingFactor:0.85,relationshipTypes:[*],cacheWeights:false,tolerance:1e-7,concurrency:4}"
30,30,false,41668,17346,12308,1968703,"{p1:0.14999961853027344,max:249.16406154632568,p5:0.14999961853027344,p90:1.1515188217163086,p50:0.14999961853027344,p95:1.855971336364746,p10:0.14999961853027344,p75:0.5135107040405273,p99:4.748015403747559,p25:0.14999961853027344,p100:249.16406154632568,min:0.14999961853027344,mean:0.5549560722709858,stdDev:1.7160873892614086}","{maxIterations:30,writeConcurrency:4,sourceNodes:[],writeProperty:pageRank30,relationshipWeightProperty:null,nodeLabels:[*],sudo:false,dampingFactor:0.85,relationshipTypes:[*],cacheWeights:false,tolerance:1e-7,concurrency:4}"
40,40,false,4444,23258,29313,1968703,"{p1:0.14999961853027344,max:250.12011623382568,p5:0.14999961853027344,p90:1.1568288803100586,p50:0.14999961853027344,p95:1.8662481307983398,p10:0.14999961853027344,p75:0.5150442123413086,p99:4.780486106872559,p25:0.14999961853027344,p100:250.12011623382568,min:0.14999961853027344,mean:0.5574569263944307,stdDev:1.7286737019924652}","{maxIterations:40,writeConcurrency:4,sourceNodes:[],writeProperty:pageRank40,relationshipWeightProperty:null,nodeLabels:[*],sudo:false,dampingFactor:0.85,relationshipTypes:[*],cacheWeights:false,tolerance:1e-7,concurrency:4}"
